EAN;KOD;Regał;Półka;Data przyjęcia;Data ważności;STAN
87614014234;;B;2;22.04.2025;1.10.2027;1
87614019239;;G;1;30.06.2025;1.09.2027;1
87614113357;;X;2;16.06.2025;1.10.2027;1
87614117089;;K;4;15.09.2025;1.05.2028;1
87614117423;;A;6;4.11.2024;1.12.2026;1
87614210032;;U;3;14.07.2025;1.04.2028;1
87614210346;;A;1;22.04.2025;1.08.2027;1
92399706236;;E;2;14.06.2024;10.05.2029;1
3154144862141;;E;2;14.06.2024;3.01.2029;1
3184340000115;;H;2;7.04.2025;1.10.2025;1
3268350000324;;F;5;29.11.2024;2.10.2025;3
3268350120237;;P;3;12.11.2024;27.08.2025;1
3375190016016;;M;5;22.09.2025;1.11.2025;1
3375190410012;;N;5;4.08.2025;1.10.2026;19
3375190410036;;T;5;21.07.2025;1.02.2026;5
3383482306615;;N;3;8.09.2025;1.01.2028;1
3383482306622;;U;1;8.09.2025;1.01.2029;1
3445020001878;;R;4;1.09.2025;1.06.2026;2
3445020002554;;G;4;28.08.2025;1.10.2026;1
3445020002592;;J;2;28.07.2025;1.07.2026;1
3483981000967;;K;2;14.07.2025;1.10.2026;1
3483981001292;;K;2;14.07.2025;1.09.2026;1
3609510004644;;E;1;14.06.2024;4.01.2029;1
3609510100421;;E;1;14.06.2024;5.01.2029;3
3609510120269;;E;3;14.06.2024;6.01.2029;3
3700110005397;;A;5;30.04.2025;1.08.2026;1
3760092217942;;B;6;22.04.2025;1.11.2025;1
3760128280322;;B;3;15.09.2025;5.11.2026;5
3760128282029;;I;5;22.09.2025;17.06.2026;4
3800218251617;;O;3;15.09.2025;21.03.2026;4
3800218252669;;S;2;12.05.2025;1.03.2026;1
3800218254588;;B;6;7.04.2025;1.12.2025;1
3800218255219;;C;5;7.07.2025;1.04.2026;4
3800233685428;;K;4;13.01.2025;1.12.2025;1
3800233685435;;A;2;9.06.2025;1.12.2025;1
3800233781861;;L;3;15.09.2025;20.08.2026;1
3800233782370;;F;6;4.08.2025;1.04.2026;2
3800233782394;;K;5;15.09.2025;14.03.2026;2
3800233782455;;T;3;28.07.2025;1.12.2025;4
3800236132226;;R;3;2.06.2025;1.12.2026;1
3800236132233;;W;3;22.09.2025;30.01.2027;1
3800236132264;;Y;3;21.07.2025;1.07.2026;1
3800236132301;;Y;1;22.09.2025;23.03.2026;2
3800236132318;;F;1;28.07.2025;1.11.2026;1
3800236132332;;Y;5;17.03.2025;1.08.2026;1
3800500324036;;F;3;20.01.2025;1.01.2027;1
3800500324357;;J;2;22.09.2025;1.01.2029;1
3800500324432;;R;3;14.07.2025;1.01.2027;1
3800500324548;;T;2;26.05.2025;1.09.2027;2
3800500324784;;B;3;17.02.2025;1.01.2027;1
3800500324784;;M;3;2.06.2025;1.01.2027;1
3800500324791;;F;3;20.01.2025;1.01.2027;1
3800500324791;;J;4;22.03.2025;1.01.2027;1
4000345298786;;N;4;10.03.2025;1.10.2026;1
4000799109560;;J;5;5.05.2025;1.06.2026;1
4000915105520;;W;5;21.07.2025;1.09.2025;1
4000915105537;;G;5;4.08.2025;25.08.2025;1
4003247102243;;F;2;30.06.2025;1.09.2025;1
4004191001224;;O;1;30.12.2024;1.09.2026;1
4004191005772;;A;7;22.04.2025;1.06.2026;1
4004191055821;;Y;5;19.05.2025;1.11.2026;3
4004790037358;;Y;4;8.09.2025;4.04.2026;2
4005009102836;;G;2;27.08.2024;24.09.2025;2
4005009102911;;M;4;14.07.2025;1.03.2026;1
4005394121023;;C;1;14.08.2025;31.10.2026;3
4005394200537;;S;3;10.02.2025;1.01.2026;1
4005394286197;;w;2;14.06.2024;31.10.2025;1
4005394287088;;G;1;22.09.2025;31.03.2026;2
4005394287866;;S;2;28.08.2025;1.09.2026;4
4005561007341;;W;2;15.09.2025;11.07.2026;1
4005561007365;;W;3;22.09.2025;12.07.2026;1
4005967005392;;H;5;26.05.2025;1.01.2026;1
4006040202844;;G;4;30.06.2025;1.05.2026;1
4006040217411;;U;3;19.11.2024;1.10.2025;1
4006040271659;;L;4;10.02.2025;1.09.2025;1
4006040293811;;J;4;15.09.2025;1.03.2026;1
4006040307723;;S;4;23.12.2024;1.10.2026;1
4006040510239;;K;5;15.09.2025;27.08.2026;1
4007843088925;;C;4;28.08.2025;1.06.2027;2
4008115896200;;D;1;14.06.2024;12.01.2029;4
4010139182016;;Y;3;8.09.2025;1.02.2026;1
4010139185000;;N;3;8.09.2025;1.03.2026;1
4012346156507;;C;3;15.09.2025;1.12.2027;2
4012346157108;;N;4;15.09.2025;1.10.2027;2
4012346157306;;S;3;8.09.2025;1.11.2027;1
4012346206202;;A;3;15.09.2025;1.04.2027;1
4012346628509;;P;6;22.09.2025;1.01.2029;1
4012824401587;;C;2;15.09.2025;28.02.2028;1
4012824401631;;C;2;15.09.2025;31.03.2028;1
4012824402003;;C;2;21.07.2025;1.01.2028;1
4012824402218;;U;2;30.07.2024;31.03.2027;1
4012824402447;;U;2;16.12.2024;1.03.2027;1
4012824402515;;M;3;14.07.2025;1.12.2027;1
4012824402522;;F;3;26.05.2025;1.11.2027;1
4012824403222;;S;4;20.01.2025;1.09.2027;1
4012824404281;;T;3;4.08.2025;1.12.2027;1
4012824405387;;U;5;14.06.2024;30.09.2026;1
4012824405622;;C;2;15.09.2025;28.02.2028;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
